Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year
16700,Grand Theft Auto: The Trilogy,PC,Rockstar Games,Rockstar North,,,0.03,2009
16701,Star Trek: Tactical Assault,PSP,Bethesda Softworks,"Quicksilver Software, Inc.",6.4,,0.03,2006
16702,Ukiyo no Roushi,PSV,Spike Chunsoft,Spike Chunsoft,,,0.03,2015
16703,God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,Namco Bandai Games,Unknown,,,0.03,2016
16704,World of Tanks,X360,Wargaming.net,Wargaming West,,,0.03,2014
16705,In Cold Blood,PS,DreamCatcher Interactive,Revolution Software Ltd.,,,0.03,2001
16706,Winning Post 8 2015,PS3,Tecmo Koei,Koei Tecmo Games,,,0.03,2015
16707,SingStar Fussballhits,PS3,Sony Computer Entertainment,SCEE London Studio,,,0.03,2010
16708,Monsters vs. Aliens,PC,Activision,Beenox,5,,0.03,2009
16709,Fireblade,GC,Midway Games,Kuju Entertainment,,,0.03,2002
16710,Kamigami no Asobi: Ludere Deorum,PSP,Broccoli,Nippon Ichi Software,,,0.03,2013
16711,Mortal Kombat,PC,Acclaim Entertainment,Midway,,,0.03,1994
16712,World Sports Competition,PSN,Hudson Soft,Hudson Soft,,,0.03,2011
16713,Kong: King of Atlantis,GBA,Majesco,Skyworks Technologies,,,0.03,2005
16714,Stardew Valley,XOne,505 Games,ConcernedApe,8.8,7.7,0.03,2017
16715,Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,DS,Konami,Konami,,,0.03,2005
16716,Kidou Senshi V Gundam,SNES,Bandai,Bandai,,,0.03,1994
16717,Safari Adventures: Africa,DS,Conspiracy Entertainment,Elektro Games,,,0.03,2009
16718,Wrestle Angels: Survivor 2,PS2,Tryfirst,Tryfirst,,,0.03,2008
16719,Onechanbara Z: Kagura,X360,D3 Publisher,D3,,,0.03,2012
16720,Ride,PC,Milestone S.r.l.,Milestone S.r.l.,,,0.03,2015
16721,The Island of Dr. Frankenstein,Wii,Storm City Games,Visual Impact,,,0.03,2009
16722,ESPN Winter X Games: Snowboarding 2002,XB,Konami,Konami Computer Entertainment Osaka,,,0.03,2002
16723,Senran Kagura: Bon App??tit!,PSV,Xseed Games,Meteorise,,,0.03,2014
16724,The King of Fighters 02/03,XB,SNK Playmore,SNK Playmore Corporation,7,,0.03,2005
16725,Tsuku Monogatari,PSP,FuRyu Corporation,FuRyu Corporation,,,0.03,2011
16726,Vitamin Z,PS2,D3 Publisher,HuneX,,,0.03,2009
16727,Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,Alchemist,Alchemist,,,0.03,2011
16728,Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wu-Hen,PSP,Yeti,Yeti,,,0.03,2010
16729,Harukanaru Toki no Naka de 5: Kazahanaki,PSP,Tecmo Koei,Tecmo Koei Games,,,0.03,2012
16730,Tom and Jerry in War of the Whiskers,XB,NewKidCo,VIS Entertainment,,,0.03,2003
16731,Nobunaga no Yabou DS 2,DS,KOEI,Koei,,,0.03,2008
16732,SingStar Chartbreaker,PS3,Sony Computer Entertainment,SCEE London Studio,,,0.03,2009
16733,Shining Resonance Refrain,XOne,Sega,Media.Vision,,,0.03,2018
16734,The IdolM@ster: Gravure For You! Vol. 6,PS3,Bandai Namco Games,Namco Bandai Games,,,0.03,2012
16735,Metal Saga: Hagane no Kisetsu,DS,Success,Crea-Tech,,,0.03,2006
16736,Young Justice: Legacy,Wii,Warner Bros. Interactive Entertainment,Freedom Factory Studios,,,0.03,2013
16737,Monster High: New Ghoul in School,X360,Little Orbit,Torus Games,,,0.03,2015
16738,Animaniacs: The Great Edgar Hunt,GC,Ignition Entertainment,Warthog,,,0.03,2005
16739,SNK 40th Anniversary Collection,NS,NIS America,SNK Corporation,7.7,7.5,0.03,2018
16740,101-in-1 Sports Party Megamix,Wii,Atlus,Nordcurrent,,,0.03,2011
16741,Dream Club Zero Portable,PSV,D3 Publisher,D3,,,0.03,2011
16742,Samurai Warriors 2,PS3,Tecmo Koei,Omega Force,,,0.03,2013
16743,Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PSV,Dramatic Create,Unknown,,,0.03,2016
16744,The Peanuts Movie: Snoopy's Grand Adventure,3DS,Activision,Behaviour Interactive,,,0.03,2015
16745,Battle Arena Toshinden URA,SAT,Sega,Nextech,,,0.03,1996
16746,Betty Boop's Double Shift,DS,DSI Games,Black Lantern Studios,,,0.03,2007
16747,Emily Archer and the Curse of Tutankhamun,DS,Mastertronic,Mastertronic,,,0.03,2011
16748,Pro Evolution Soccer 2012,3DS,Konami Digital Entertainment,Konami,,,0.03,2012
16749,Tumblestone,PS4,Nighthawk Interactive,The Quantum Astrophysicists Guild,,,0.03,2016
16750,Yonder: The Cloud Catcher Chronicles,NS,Merge Games,Prideful Sloth,7.4,7.3,0.03,2018
16751,CID The Dummy,PSP,O-Games,Twelve Games,,,0.03,2009
16752,Biohazard: Revival Selection,X360,Capcom,Capcom,,,0.03,2011
16753,Cabela's Big Game Hunter: Pro Hunts,X360,Activision,Cauldron,,,0.03,2014
16754,Diabolik Lovers: More Blood,PSV,Idea Factory,Idea Factory,,,0.03,2015
16755,Labyrinth Cross Blood: Infinity,PSV,CyberFront,Experience Inc.,,,0.03,2013
16756,The Town of Light,NS,Wired Productions,Unknown,,,0.03,2018
16757,Driver: Parallel Lines,Wii,Ubisoft,Reflections Interactive,5.9,,0.03,2007
16758,Super Duper Sumos,GBA,Midway Games,Handheld Games,,,0.03,2003
16759,Syberia,PC,The Adventure Company,Microids,8,,0.03,2002
16760,Wand of Fortune R2: Jikuu ni Shizumu Mokushiroku,PSV,Idea Factory,Idea Factory,,,0.03,2017
16761,MechAssault: Phantom War,DS,Majesco,Backbone Entertainment,7,,0.03,2006
16762,Shin Megami Tensei: Devil Survivor Overclocked,3DS,Atlus,Career Soft,7.5,4.3,0.03,2011
16763,Bridge Constructor Portal,PS4,Nighthawk Interactive,ClockStoneSoftware,7.8,3.7,0.03,2018
16764,Blackguards 2,PS4,Kalypso Media,Daedalic Entertainment,,,0.03,2017
16765,Disney Sports Soccer,GBA,Konami,Konami,7.3,,0.03,2002
16766,The Last Guy,PS3,Sony Computer Entertainment,SCE Japan Studio,9,,0.03,2008
16767,Akane Iro ni Somaru Saka Parallel,PS2,GN Software,Feng,,,0.03,2008
16768,Rugby League Live,X360,Home Entertainment Suppliers,Home Entertainment Suppliers,,,0.03,2010
16769,Wand of Fortune R,PSV,Idea Factory,Unknown,,,0.03,2016
16770,Amnesia World,PSV,Idea Factory,Idea Factory,,,0.03,2014
16771,Dynasty Warriors 8: Empires,PSV,Tecmo Koei,Omega Force,,,0.03,2015
16772,Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,PSP,Alchemist,Alchemist,,,0.03,2011
16773,Little Bears,DS,Zoo Games,B-Alive,,,0.03,2010
16774,Monster Hunter Frontier Online: Forward 1,X360,Capcom,Capcom,,,0.03,2011
16775,D1 Professional Drift Grand Prix Series,PS2,Yuke's,Yuke's Future Media Creators,3.7,,0.03,2006
16776,Max Payne,GBA,Rockstar Games,Mobius Entertainment,7.8,,0.03,2003
16777,Timeshock! Pro Pinball,PS,Empire Interactive,Cunning Developments,,,0.03,1998
16778,Baja: Edge of Control HD,PS4,THQ Nordic,2XL Games,6.5,5.9,0.03,2017
16779,Warhammer: Mark of Chaos,PC,Namco Bandai,Black Hole Entertainment,8,,0.03,2006
16780,Starry * Sky: In Winter - PSP Edition,PSP,Asgard,Asgard,,,0.03,2011
16781,Rush Hour,PS,Psygnosis,Clockwork Games,6,,0.03,1997
16782,Pro Cast Sports Fishing,XB,Capcom,Capcom,3.1,,0.03,2003
16783,Gintama: Banji Oku Chuubu!,Wii,Namco Bandai,Bandai Namco Games,,,0.03,2007
16784,Saka Agari Hurricane Portable,PSP,Alchemist,Alchemist,,,0.03,2011
16785,Negima!? Dream Tactic Yumemiru Otome Princess,PS2,Konami,Konami,,,0.03,2007
16786,Beast Quest,XOne,Maximum Games,Torus Games,,,0.03,2018
16787,Crows: Burning Edge,PS4,Namco Bandai Games,Bandai Namco Games,,,0.03,2016
16788,1000 Cooking Recipes from ELLE ?ÿ table,DS,Nintendo,Agenda,,,0.03,2010
16789,Evangelion Shin Gekijoban: 3nd Impact,PSP,Namco Bandai,Grasshopper Manufacture,,,0.03,2011
16790,Geometry Wars 3: Dimensions Evolved,PS4,Activision,Unknown,,,0.03,2016
16791,Dynasty Warriors: Godseekers,PSV,Tecmo Koei,Omega Force,,,0.03,2017
16792,Dakar 2: The World's Ultimate Rally,GC,Acclaim Entertainment,Acclaim?ÿStudios?ÿCheltenham,6.2,,0.03,2003
16793,NBA 2K7,XB,2K Sports,Visual Concepts,8.4,,0.03,2006
16794,Auto Modellista,GC,Capcom,Capcom,5.9,,0.03,2003
16795,Hanayaka Kana Ware ga Ichizoku Twin Pack,PSP,Idea Factory,Idea Factory,,,0.03,2011
16796,Ben 10 (2017),XOne,Outright Games,Torus Games,,,0.03,2017
16797,Dave Mirra Freestyle BMX 3,GBA,Acclaim Entertainment,Full Fat,8,,0.03,2002
16798,Greg Hastings' Tournament Paintball Max'd,GBA,Activision,Activision Value,2.2,,0.03,2006
16799,Eco Creatures: Save The Forest,DS,Majesco,"Lightweight Co.,Ltd.",,,0.03,2008
16800,Kintaihi Shounen no Jiken: Kyakusen Eris-Gou no Sangeki,DS,Creative Core,Creative Core,,,0.03,2009
16801,Dragon Tamer: Sound Spirit,DS,Namco Bandai,Bandai Namco Games,,,0.03,2007
16802,Frogger: Ancient Shadow,XB,Konami,Hudson Soft,5.3,,0.03,2005
16803,Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!,DS,Namco Bandai,Namco Bandai,,,0.03,2011
16804,God of War III Remastered,PS4,Sony Computer Entertainment Europe,SCEA Santa Monica Studio,8.1,8,0.03,2015
16805,Kiniro no Corda 2 f Encore,PSP,KOEI,Koei,,,0.03,2009
16806,La Pucelle: Ragnarok,PSP,Nippon Ichi Software,Nippon Ichi Software,,,0.03,2009
16807,Let's Dance with Mel B,PS3,Black Bean Games,Lightning Fish,,,0.03,2012
16808,Darius II,SAT,Taito,Taito Corporation,,,0.03,1996
16809,Cossacks: European Wars,PC,Strategy First,GSC Game World,7.5,,0.03,2001
16810,Bleach: Soul Carnival 2,PSP,Sony Computer Entertainment,Eighting,,,0.03,2009
16811,ParaParaParadise,PS2,Konami,Konami,,,0.03,2001
16812,Rugby League Live,PS3,Home Entertainment Suppliers,Home Entertainment Suppliers,,,0.03,2010
16813,Jack Keane,PC,Strategy First,DECK13 Interactive,7.5,,0.03,2008
16814,Tiger & Bunny On Air Jack!,PSP,Namco Bandai Games,Bandai Namco,,,0.03,2012
16815,Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,Namco Bandai Games,B.B. Studio,,,0.03,2012
16816,The Settlers II 10th Anniversary,PC,Ubisoft,Blue Byte,,,0.03,2006
16817,Gotcha Force,GC,Capcom,Capcom,5.8,,0.03,2003
16818,The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%,PS2,Banpresto,Dimps Corporation,,,0.03,2007
16819,Warship Gunner 2,PS2,KOEI,Micro Cabin,,,0.03,2006
16820,The Raven Remastered,XOne,THQ Nordic,KING Art Games,,,0.03,2018
16821,Mystery Trackers: The Void,PC,Focus Home Interactive,Focus Multimedia,,,0.03,2011
16822,Onimusha: Warlords,PS4,Capcom,Capcom,7.4,5.6,0.03,2019
16823,The Perfect Golf,PS,Seta Corporation,Seta Corporation,,,0.03,1995
16824,Wrestle Kingdom,PS2,Yuke's,Yuke's Future Media Creators,,,0.03,2006
16825,Demon Driver: Time to Burn Rubber!,GBA,Ignition Entertainment,Ignition Entertainment,,,0.03,2004
16826,We Sing (2016),PS4,THQ Nordic,THQ Nordic,,,0.03,2016
16827,Infinite Stratos 2: Ignition Hearts,PS3,5pb,5pb. Inc.,,,0.03,2014
16828,Mojo!,XB,Crave Entertainment,Crave Entertainment,,,0.03,2003
16829,NatGeo Challenge! Wild Life,X360,D3 Publisher,Gusto Games,,,0.03,2010
16830,Totally Spies! Totally Party,PC,Ubisoft,Mad Monkey Studio,,,0.03,2008
16831,Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~,PS2,Konami,Konami,,,0.03,2006
16832,Buffy the Vampire Slayer: Chaos Bleeds,GC,VU Games,Eurocom Entertainment Software,7.7,,0.03,2003
16833,Nekketsu Kouha Kunio-Kun SP Kyousoukyoku,3DS,Arc System Works,Arc System Works,,,0.03,2013
16834,River City Ransom SP,3DS,Arc System Works,Technos Japan Corporation,,,0.03,2016
16835,The Pillars of the Earth,XOne,Kalypso Media,Daedalic Entertainment,,,0.03,2017
16836,Brothers Conflict: Passion Pink,PSP,Idea Factory,Otomate,,,0.03,2012
16837,Clannad,X360,Prototype,Visual Arts,,,0.03,2008
16838,Hellblade: Senua's Sacrifice,XOne,Microsoft Studios,Ninja Theory,8.8,7.3,0.03,2018
16839,Kuryuu Youma Gakuenki Recharge,PS2,Atlus,Killaware,,,0.03,2006
16840,Jet Grind Radio,GBA,THQ,Vicarious Visions,7.1,,0.03,2003
16841,My Frogger: Toy Trials,DS,Konami,Konami,,,0.03,2006
16842,MySims,PC,Electronic Arts,EA Redwood Shores,7,,0.03,2008
16843,Shin Hayarigami 2,PS4,Nippon Ichi Software,Nippon Ichi Software,,,0.03,2016
16844,Turbo: Super Stunt Squad,WiiU,D3Publisher,Monkey Bar Games,,,0.03,2013
16845,The Town of Light,PS4,Wired Productions,LKA,6.7,6.1,0.03,2017
16846,Strike Witches: Aoi no Dengekisen - Shin Taichou Funtousuru!,DS,Russel,Russel,,,0.03,2009
16847,OlliOlli: Epic Combo Edition,PS4,Badland Studio,Roll7,,,0.03,2016
16848,Baldur's Gate: Dark Alliance,GBA,"Destination Software, Inc",Magic Pockets,8,,0.03,2004
16849,Hakuoki: Kyoto Winds,PSV,Idea Factory,Otomate,8.3,7.3,0.03,2017
16850,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,PS4,Namco Bandai Games,CyberConnect2,,,0.03,2017
16851,The Adventures of Lomax,PS,Psygnosis,Psygnosis,,,0.03,1996
16852,Under the Skin,PS2,Capcom,Capcom Production Studio 4,,,0.03,2004
16853,Kabu Trader Shun,DS,Capcom,Capcom,,,0.03,2007
16854,Hermie Hopperhead: Scrap Panic,PS,Sony Computer Entertainment,Yuke's Media Creations,,,0.03,1995
16855,Poy Poy,PS,Konami,Konami Computer Entertainment Tokyo,8,,0.03,1997
16856,Age of Conan: Rise of the Godslayer,PC,Funcom,Funcom,7.9,,0.03,2010
16857,NHL 07,XB,EA Sports,EA Montreal,7.6,,0.03,2006
16858,This War of Mine,PS4,11 bit studios,11 bit studios,,,0.03,2016
16859,DrumMania 7th Mix,PS2,Konami,Konami,,,0.03,2002
16860,Runabout 3: Neo Age,PS2,BAM! Entertainment,Climax Entertainment,,,0.03,2002
16861,Aokana: Four Rhythm Across the Blue,PS4,Sprite,Sprite,,,0.03,2017
16862,SimCity,PC,Maxis,Maxis,7,2.2,0.03,1989
16863,The Lost Child,NS,NIS America,Crim,7.5,6.4,0.03,2018
16864,Let's Dance with Mel B,Wii,Black Bean Games,Lightning Fish,,,0.03,2012
16865,Niko Puchi Girls Runway,3DS,Happinet,Happinet,,,0.03,2015
16866,My Ballet Studio,Wii,505 Games,Del,,,0.03,2009
16867,Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,Prototype,Visual Arts,,,0.03,2010
16868,Archer Maclean Presents: Pool Paradise,GC,Ignition Entertainment,Awesome Developments,,,0.03,2004
16869,Rime,XOne,Grey Box,Tequila Works,,,0.03,2017
16870,Zero Escape: Zero Time Dilemma,PS4,Rising Star Games,Chime,8,6.8,0.03,2017
16871,Sengoku Efuda Yuugi: Hototogisu Tairan,PSP,Irem Software Engineering,Irem Software Engineering,,,0.03,2010
16872,BattleZone,PSP,Atari,Paradigm Entertainment Inc.,,,0.03,2006
16873,Ookiku Furikabutte: Honto no Ace ni Nareru kamo,DS,Marvelous Interactive,Marvelous Interactive,,,0.03,2007
16874,Medal of Honor: Vanguard,PS2,Electronic Arts,EA Los Angeles,,,0.03,2007
16875,Max Payne 2: The Fall of Max Payne,PC,Rockstar Games,Remedy Entertainment,9.1,,0.03,2003
16876,AereA,PS4,Soedesco,Triangle Studios,4.6,1.8,0.03,2017
16877,Touch Shot! Love Application,PS3,Compile Heart,Tamsoft,,,0.03,2012
16878,Nanotek Warrior,PS,Virgin Interactive,Tetragon,8,,0.03,1997
16879,Air Missions: Hind,PS4,Soedesco,3Division,,,0.03,2018
16880,BlazBlue: Chrono Phantasma Extend,PSV,Arc System Works,Arc System Works,,,0.03,2015
16881,Galileo,DS,D3 Publisher,Tomcat System,,,0.03,2008
16882,Cake Mania: Baker's Challenge,PS2,Destineer,Sandlot Games,7,,0.03,2008
16883,Captain Tsubasa J: The Way to World Youth,SNES,Bandai,Bandai,,,0.03,1995
16884,Super Monkey Ball Adventure,PS2,Sega,Traveller's Tales,4.8,,0.03,2006
16885,Madden NFL 07,GBA,EA Sports,Exient Entertainment,7,,0.03,2006
16886,Renegade Racers,PS,Interplay,Interplay,4.5,,0.03,2000
16887,Amatsumi Sora ni! Kumo no Hatate ni,PSV,Prototype,Prototype,,,0.03,2015
16888,The Legend of Korra A New Era Begins,3DS,Activision,Webfoot Technologies,,,0.03,2014
16889,Heroes of Hellas 2: Olympia,DS,Unknown,Easy Interactive,,,0.03,2012
16890,Schlag den Raab,PC,Namco Bandai,Namco Bandai Games,,,0.03,2010
16891,Magicka,PC,Paradox Interactive,Arrowhead Game Studios,7.6,7.6,0.03,2011
16892,Age of Empires III: Gold Edition,PC,Microsoft Game Studios,Ensemble Studios,,,0.03,2007
16893,AniMates!,DS,DreamCatcher Interactive,DK Games,,,0.03,2007
16894,Tsuki ni Yori Sou Otome no Sahou: Hidamari no Hibi,PSV,Dramatic Create,Dramatic Create,,,0.03,2015
16895,Franklin the Turtle,GBA,Game Factory,Artex Software,,,0.03,2005
16896,Doraemon: Nobita no Takarajima,3DS,FuRyu Corporation,FuRyu,,,0.03,2018
16897,Prince of Persia (2008),PC,Ubisoft,Ubisoft Montreal,,,0.03,2008
16898,Shitsuji ga Aruji o Erabu Toki,PSV,Unknown,Unknown,,,0.03,2016
16899,Zettai Kaikyuu Gakuen: Eden with Roses and Phantasm,PSV,Prototype,Unknown,,,0.03,2016
16900,CID The Dummy,Wii,O-Games,Twelve Games,,,0.03,2009
16901,Backyard NFL Football,Wii,Atari,Humongous Entertainment,,,0.03,2007
16902,Gauntlet / Rampart,GBA,DSI Games,EC Interactive Games,4,,0.03,2005
16903,River King: Wonderful Journey,PS2,Natsume,Marvelous,,,0.03,2006
16904,Justice League Heroes: The Flash,GBA,Warner Bros. Interactive,WayForward Technologies,8,,0.03,2006
16905,Pop Cutie! Street Fashion Simulation (JP sales),DS,KOEI,Koei,,,0.03,2008
16906,MuvLuv Double Pack,PSV,5pb,Unknown,,,0.03,2016
16907,Captain Morgane and the Golden Turtle,DS,Reef Entertainment,WizarBox,,,0.03,2012
16908,HotBrain,PSP,Midway Games,Midway Studios San Diego,,,0.03,2007
16909,Bae Yong-joon to Manabu Kankokugo DS,DS,D3 Publisher,Mobilero,,,0.03,2009
16910,God Wars The Complete Legend,NS,NIS America,Kadokawa Games,,,0.03,2018
16911,Root Letter,PS4,PQube,Kadokawa Games,6.8,6.8,0.03,2016
16912,World War II Combat: Road To Berlin,XB,Groove Games,Direct Action Games,,,0.03,2006
16913,Metal Saga,PS2,Atlus,Createch,6.1,,0.03,2006
16914,Guild Wars: Nightfall,PC,NCSoft,ArenaNet,8,,0.03,2006
16915,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7,PS3,Namco Bandai Games,Unknown,,,0.03,2015
16916,Death Mark,NS,Aksys Games,Experience Inc.,,,0.03,2018
16917,Steins;Gate Elite,PS4,Spike Chunsoft,5pb. Inc.,8.6,7.3,0.03,2019
16918,Imagine: Sweet 16,DS,Ubisoft,Longtail Studios,,,0.03,2010
16919,Last Escort 2: Shinya no Amai Toge,PS2,D3 Publisher,Vingt-et-un Systems,,,0.03,2008
16920,Monster Mayhem: Build and Battle,Wii,Crave Entertainment,Brain Toys,4.5,,0.03,2009
16921,Darksiders: Warmastered Edition,WiiU,THQ Nordic,Kaiko,,,0.03,2017
16922,Norn + Nonette: Act Tune,PSV,Idea Factory,Unknown,,,0.03,2016
16923,Pop'n Music 13 Carnival,PS2,Konami,Konami,,,0.03,2006
16924,Bookworm,GBA,Majesco,PopCap,6,,0.03,2004
16925,Agony,PS4,Maximum Games,Madmind Studio,5,4.9,0.03,2018
16926,Kawasaki Snowmobiles,Wii,Destineer,Data Design Interactive,2.1,,0.03,2008
16927,Tokushu Houdoubu,PSV,Nippon Ichi Software,Nippon Ichi Software,,,0.03,2012
16928,My DoItAll,DS,Tomy Corporation,Rocket Studios,5,,0.03,2009
16929,Harukanaru Toki no Naka de 3 Ultimate,PSV,Tecmo Koei,Unknown,,,0.03,2017
16930,Jewel Quest 5: The Sleepless Star,DS,Tulip Games,Engine Software,,,0.03,2013
16931,Ocean Commander,Wii,Valcon Games,Cyber Planet Interactive,2,,0.03,2009
16932,Shakugan no Shana,PS2,Media Works,Vridge,,,0.03,2006
16933,Cladun Returns: This Is Sengoku!,PS4,NIS America,Nippon Ichi Software,,,0.03,2017
16934,Let's Play Ballerina,Wii,Deep Silver,ZigZagIsland,,,0.03,2010
16935,Hokuto no Ken: Hokuto Shinken Denshousha no Michi,DS,Spike,Spike,,,0.03,2008
16936,My Animal Centre,Wii,Deep Silver,Braingame,,,0.03,2009
16937,Akogare Girls Collection: Wan Nyan Doubutsu Byouin - Suteki na Juui-San ni Narou!,3DS,Nippon Columbia,Nippon Columbia,,,0.03,2015
16938,Legendary Fishing,PS4,Ubisoft,Ubisoft,,,0.03,2018
16939,The King of Fighters: Maximum Impact - Maniax,XB,SNK Playmore,SNK Playmore Corporation,,,0.03,2005
16940,Wand of Fortune 2: Jikuu ni Shizumu Mokushiroku,PSP,Idea Factory,Idea Factory,,,0.03,2011
16941,Hankou Shashin,SAT,Imagineer,Imagineer,,,0.03,1996
16942,Little Busters! Converted Edition,PSV,Prototype,Prototype,,,0.03,2012
16943,Death Mark,PSV,Experience Inc.,Experience Inc.,,,0.03,2017
16944,Marker Man Adventures,DS,Majesco,Glyphic Entertainment,,,0.03,2009
16945,Open Season,PS2,Ubisoft,Ubisoft Montreal,6.4,,0.03,2006
16946,Pro Yakyuu Family Stadium,Wii,Namco Bandai,Bandai Namco Games,,,0.03,2008
16947,The Girl and the Robot,PS4,Soedesco,Flying Carpets Games,,,0.03,2017
16948,Monster Hunter Frontier Online: Forward 2,X360,Capcom,Capcom,,,0.03,2011
16949,Disney Planes Fire & Rescue,WiiU,Disney Interactive Studios,Little Orbit,,,0.03,2014
16950,Moyashimon DS,DS,Takara Tomy,Takara Tomy,,,0.03,2009
16951,The Legend of Heroes: Sen no Kiseki: Kai -Thors Military Academy 1204-,PS4,Nihon Falcom Corporation,Nihon Falcom Corporation,,,0.03,2018
16952,A Ressha de Gyoukou 2001,PS2,ArtDink,ArtDink,,,0.03,2001
16953,Air Conflicts: Secret Wars,PC,bitComposer Games,Games Farm,,,0.03,2011
16954,The Sims 2: Bon Voyage,PC,Electronic Arts,Maxis,8,,0.03,2007
16955,Angelique Retour,PSV,Tecmo Koei,Unknown,,,0.03,2015
16956,Monster Boy and the Cursed Kingdom,PS4,FDG Entertainment,Game Atelier,8.7,7.8,0.03,2018
16957,Star Wars The Clone Wars: Republic Heroes,PC,LucasArts,Krome Studios,,,0.03,2009
16958,Past Cure,PS4,Phantom 8 Studio,Phantom 8 Studio,3.7,5,0.03,2018
16959,Starry * Sky: In Autumn - PSP Edition,PSP,Asgard,Asgard,,,0.03,2010
16960,Battlefield 2142,PC,Electronic Arts,Digital Illusions CE,8.4,,0.03,2006
16961,Pitball,PS,Accolade,Time Warner Interactive,5,,0.03,1996
16962,Jyuzaengi Engetsu Sangokuden 2,PSP,Idea Factory,RED Entertainment,,,0.03,2014
16963,D.C. III: Da Capo III,PSP,Kadokawa Games,Circus,,,0.03,2013
16964,Judge Dredd: Dredd Vs Death,PS2,Evolved Games,Rebellion Developments,,,0.03,2005
16965,Osomatsu-San: The Game - Hang-Up Finding Employment Advice - Dead or Work,PSV,Idea Factory,Idea Factory,,,0.03,2017
16966,Petz: Catz Playground,DS,Ubisoft,Ubisoft Nagoya,,,0.03,2010
16967,Dragon Quest X: 5000-nen no Harukanaru Kokyou e Online,NS,Square Enix,Square Enix,,,0.03,2017
16968,Ducati Moto,DS,Vir2L Studios,4J Studios,6,,0.03,2008
16969,RollerCoaster Tycoon 2: Triple Thrill Pack,PC,Atari,Frontier Developments,,,0.03,2003
16970,Drome Racers,GBA,THQ,Mobius Entertainment,7.5,,0.03,2003
16971,I Heart Geeks,DS,CDV Software Entertainment,SevenOne Intermedia,,,0.03,2011
16972,Rock 'N' Roll Adventures,Wii,Conspiracy Entertainment,Data Design Interactive,3,,0.03,2007
16973,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,PSP,Idea Factory,Idea Factory,,,0.03,2012
16974,Moto Racer DS,DS,SouthPeak Interactive,Artefacts Studio,,,0.03,2010
16975,Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,PS3,Paon Corporation,Paon Corporation,,,0.03,2013
16976,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2,PS2,Sega,Sammy Studios,,,0.03,2007
16977,Tenkaichi * Sengoku Lovers,DS,Rocket Company,Rocket Company,,,0.03,2010
16978,X-Men Origins: Wolverine - Uncaged Edition,PC,Activision,Raven Software,,,0.03,2009
16979,Star Wars: Empire at War - Forces of Corruption,PC,LucasArts,Petroglyph Games,,,0.03,2006
16980,Bode Miller Alpine Skiing,PS2,Valcon Games,49Games,3.2,,0.03,2006
16981,Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu,GBA,Marvelous Interactive,Marvelous Interactive,,,0.03,2006
16982,Omega Quintet,PS4,Compile Heart,Compile Heart,5.8,7,0.03,2015
16983,Borderlands: Game of the Year Edition,PC,2K Games,Gearbox Software,,,0.03,2010
16984,Divinity II: Flames of Vengeance,PC,DTP Entertainment,Larian Studios,6,,0.03,2010
16985,Napoleon Dynamite: The Game,DS,Crave Entertainment,7 Studios,7,,0.03,2007
16986,R-Type Delta,PS,Irem Software Engineering,Irem Software Engineering,8.3,,0.03,1999
16987,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,Namco Bandai Games,Unknown,,,0.03,2015
16988,Haitaka no Psychedelica,PSV,Idea Factory,Unknown,,,0.03,2016
16989,Angelique: Maren no Rokukishi,PSP,Idea Factory,Idea Factory,,,0.03,2011
16990,Bully: Scholarship Edition,PC,Rockstar Games,Rockstar Vancouver/Mad Doc Software,6.6,,0.03,2008
16991,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,Namco Bandai Games,Unknown,,,0.03,2016
16992,QUIZ PARTY,Wii,CK Games,WizarBox,,,0.03,2012
16993,Mary Skelter: Nightmares 2,PS4,Compile Heart,Compile Heart,,,0.03,2018
16994,Soul Eater: Battle Resonance,PSP,Namco Bandai,Bec,,,0.03,2009
16995,Tank Beat,DS,O~3 Entertainment,MileStone Inc.,4,,0.03,2007
